Egypt,France,2019,?,60,?,MM-40-3 Exocet,anti-ship/land-attack missile,45,?,2022;2023,New,For MEKO-200 frigates from Germany,1,60,45;;;;;;;;;;;;;
Egypt,France,2015,,25,?,ASTER-15 SAAM,SAM,25,?,2015,New,For FREMM frigate,0.3,7.5,7.5;;;;;;;;;;;;;;
Egypt,France,2014,?,50,?,MM-40-3 Exocet,anti-ship/land-attack missile,50,?,2017;2021;2022;2023,New,For Gowind frigates,1,50,50;;;;;;;;;;;
Egypt,France,2020,,200,?,MICA,long-range air-to-air missile,150,?,2022;2023,New,MICA-NG version;for MEKO-200 frigates from Germany,0.4,80,60;;;;;;;;;;;;
Egypt,France,2019,,50,?,MU-90 IMPACT,anti-submarine torpedo,35,?,2022;2023,New,For 4 MEKO-200 frigates,0.5,25,17.5;;;;;;;;;;;;;
Egypt,France,2015,,1,,FREMM,frigate,1,,2015,New,,482.95,482.95,482.95;;;;;;;;;;;;;;
Egypt,France,2015,,2,,EDAR,landing craft,2,,2016,New,For use with Mistral AALS,10,20,20;;;;;;;;;;;;;;
Estonia,France,2015,,100,?,Mistral,portable SAM,100,?,2015;2017;2018;2019,New,EUR24 m deal;Mistral M3 version,0.09,9,9;;;;;;;;;;
Estonia,France,2009,,2,,Ground Master-400,air-search radar,1,,2015,New,EUR28 m 'MRR-2010' project (part of EUR200 m deal incl 12 for Finland);GM-403 version;for 'BALTNET' air surveillance network,13,26,13;;;;;;;;;;;;
Estonia,France,2018,,100,?,Mistral,portable SAM,100,?,2020;2021;2022,New,Mistral-3 version,0.09,9,9;;;;;;;;;;;;
Ethiopia,France,2015,,12,,Bastion,armoured personnel carrier,12,?,2016,New,Financed by aid from USA,0.16,1.92,1.92;;;;;;;;;;;;;;
Finland,France,2023,,500,?,BONUS-2,guided shell,250,?,2024,New,EUR35 m deal,0.04,20,10;;;;;;;;;;;;;;
Finland,France,2014,,360,,BONUS-2,guided shell,360,?,2014;2015;2016,New,EUR16 m deal,0.04,14.4,14.4;;;;;;;;;;;;
Finland,France,2009,,12,,Ground Master-400,air-search radar,8,?,2014;2015,New,Part of EUR200 m deal (incl 2 more for Estonia);Ground Master-403 version;Finnish designation KEVA-2010,13,156,104;;;;;;;;;;;
Gabon,France,2020,,4,,AML,armoured car,4,,2023,Second hand but modernized,Second-hand but modernized to AML-90NG version before delivery;for Republican Guard,0.46,1.85,1.85;;;;;;;;;;;;;
Gabon,France,2014,,8,,Aravis,infantry fighting vehicle,8,?,2015;2016,New,,0.87,6.96,6.96;;;;;;;;;;;;;
Gabon,France,2018,?,5,,VAB-VTT,armoured personnel carrier,5,,2019,Second hand,Second-hand; aid;for Gabonese UN peacekeeping forces in Central African Republic,0.12,0.6,0.6;;;;;;;;;;;;
Gabon,France,2016,?,5,?,Bastion,armoured personnel carrier,5,?,2019,New,,0.16,0.8,0.8;;;;;;;;;;;;;;
Georgia,France,2015,,20,?,Mistral,portable SAM,20,?,2018,New,EUR50 m deal,0.09,1.8,1.8;;;;;;;;;;;;;;
Georgia,France,2015,,1,,Ground Master-400,air-search radar,1,,2018,New,,13,13,13;;;;;;;;;;;;;;
Georgia,France,2015,,2,,Ground Master-200,air-search radar,2,,2018,New,,10,20,20;;;;;;;;;;;;;;
