China,Germany,2008,?,8,?,ship engine,ship engine,4,,2014; 2015,New,MTU 12V-1163 (6700hp) diesel engine for 4 Type-051C (Luyang-2) destroyers produced in China; produced under licence in China,2.5,20,10
Colombia,Germany,2012,,2,,Type-206A,submarine,2,,2015,Second hand but modernized,Second-hand but modernized before delivery; EUR11 m or EUR110 m deal; Colombian designation Intr�pido; 2 more delivered for spare parts,39.6,79.2,79.2
Colombia,Germany,2014,,1,,ATR-42,transport aircraft,1,,2015,Second hand,Second-hand; for police,3.8,3.8,3.8
Colombia,Germany,2011,,1,,OPV-80,patrol ship,1,,2014,New,$66 m deal; produced under licence in Colombia as 20 de Julio,36,36,36
Colombia,Germany,2011,,1,,OPV-80,patrol ship,1,,2017,New,Produced under licence in Colombia as 20 de Julio,36,36,36
Colombia,Germany,2009,?,16,,ship engine,ship engine,4,?,2014,New,MTU 16V-1163 (7000hp) diesel engine for modernization of 4 FS-1500 (Padilla) frigates,2.5,40,10
Croatia,Germany,2014,,12,,PzH-2000 155mm,self-propelled gun,12,?,2015; 2017,Second hand,Second-hand; EUR41 m deal (incl EUR12 m for guns and EUR29 for support and spare parts),1.8,21.6,21.6
Czechia,Germany,2022,,14,,Leopard-2A4,tank,14,,2022; 2023,Second hand,Second-hand; aid,1.6,22.4,22.4
Czechia,Germany,2022,,1,,Buffel,armoured recovery vehicle,1,?,2023,New,Aid,2.25,2.25,2.25
Denmark,Germany,2017,,16,?,Leopard-2A7,tank,16,?,2020; 2021; 2022; 2023,New,Part of EUR113 m deal; Danish Leopard-2A5 rebuilt to Leopard-2A7V,5.2,83.2,83.2
Denmark,Germany,2006,?,3,,ASO-90,anti-submarine sonar,2,,2014,New,ASO-94 version for 3 Huitfeldt (PS) frigates produced in Denmark,7.5,22.5,15
Denmark,Germany,2006,?,12,,ship engine,ship engine,8,,2014,New,MTU 20V-8000 (11000hp) diesel engine for 3 Huitfeldt (PS) frigates produced in Denmark,4,48,32
Denmark,Germany,2019,,7,,PSB-2,armoured bridgelayer,7,?,2023; 2024,Second hand but modernized,Second-hand Leopard-2 tank chassis modified to Leguan ABL,0.83,5.78,5.78
Ecuador,Germany,2019,,8,,G-120TP,trainer aircraft,8,,2020; 2021; 2022,New,,0.4,3.2,3.2
Ecuador,Germany,2019,,6,,EC145,light helicopter,6,,2020; 2021,New,H145M version; Ecuadorian designation Cobra,3.25,19.5,19.5
Egypt,Germany,2018,?,7,,IRIS-T SL,SAM system,2,?,2021; 2024,New,IRIS-T SLM version; Egyptian designation Saqr,25,175,50
Egypt,Germany,2020,,1,,IPV-60,patrol ship,1,,2021,New,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt,17.5,17.5,17.5
Egypt,Germany,2015,?,125,?,DM2A4 Seehecht,anti-ship/anti-submarine torpedo,125,?,2016; 2017; 2019; 2020; 2021,New,For Type-209 submarines,1.8,225,225
Egypt,Germany,1978,,1280,,Fahd,armoured personnel carrier,30,?,2014; 2015,New,Developed for assembly/production under licence in Egypt; incl Fahd-240/30 infantry fighting vehicle version,0.25,320,7.5
Egypt,Germany,2015,,4,,ship engine,ship engine,4,,2015,New,MTU 16V-4000 (2820hp) diesel engine for FREMM frigate from France,1.2,4.8,4.8
Egypt,Germany,2012,?,2,,Type-209/1400,submarine,2,,2016; 2017,New,,170,340,340
Egypt,Germany,2019,,4,,MEKO-A200,frigate,3,,2022; 2023,New,Incl 1 produced under licence in Egypt; delivery planned 2022-2025,261.25,1045,783.75
Egypt,Germany,2018,?,400,?,IRIS-T SLM,SAM,100,?,2021; 2024,New,For IRIS-T SLM SAM system,0.4,160,40
Egypt,Germany,2014,?,2,,Type-209/1400,submarine,2,,2020; 2021,New,,170,340,340
Egypt,Germany,2010,?,4,,ship engine,ship engine,4,,2015,New,MTU 16V-595 (5500hp) diesel engine for 1 Ambassador-4 corvette from USA,1.5,6,6
Egypt,Germany,2019,,25,?,DM2A4 Seehecht,anti-ship/anti-submarine torpedo,15,?,2022; 2023,New,For MEKO-A200 frigates,1.8,45,27
Egypt,Germany,2020,,9,,FPB-40,patrol boat,9,?,2020; 2021,New,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt; OPB-41/CSB-40 version,12,108,108
Egypt,Germany,2014,,8,,ship engine,ship engine,8,?,2017; 2021; 2022; 2023,New,MTU 6700hp diesel engine for 4 Gowind-2500 (El Fateh) frigates from France,2.5,20,20
Egypt,Germany,2017,?,330,?,AIM-9L/I Sidewinder,short-range air-to-air missile,330,?,2018; 2019; 2020,New,Probably AIM-9L/I-1 version,0.12,39.6,39.6
Egypt,Germany,2005,,139,?,RIM-116A RAM,SAM,139,,2014,New,Part of $25 m deal; RIM-116B Block-1A version for Ambassador-4 corvettes,0.14,19.46,19.46
Egypt,Germany,2006,,12,,ship engine,ship engine,4,?,2015,New,MTU 16V-595 (5400hp) diesel engine for 3 Ambassador-4 corvettes from USA,1.5,18,6
Estonia,Germany,2022,?,,,Vulcano-GLR,guided shell,252,?,2023,New,Vulcano 155 GLR version,0.04,0,10.08
Ethiopia,Germany,2022,?,10,?,vehicle engine,vehicle engine,10,,2022; 2023,New,MTU 6R-1000 (310hp) diesel engine for 10 Despot armoured personnel carriers from Bosnia and Herzegovina,0.05,0.5,0.5
Ethiopia,Germany,2019,,6,,G-120TP,trainer aircraft,6,,2019,New,,0.4,2.4,2.4
France,Germany,2019,?,8,,ship engine,ship engine,2,,2024,New,MAN 20V32/44CR (16000hp) diesel engine for 4 Vulcano replenishment ships from Italy,5,40,10
France,Germany,2019,?,16,,ship engine,ship engine,4,,2024,New,MAN 6L27/38 (2800hp) diesel engine for 4 Vulcano replenishment ships from Italy,1.2,19.2,4.8
France,Germany,2005,?,32,?,ship engine,ship engine,28,,2015; 2016; 2017; 2018; 2019; 2021; 2022,New,MTU 16V-4000 (2820hp) diesel engine for 8 Aquitaine (FREMM) frigates produced in France,1.2,38.4,33.6
Gabon,Germany,2014,,12,,vehicle engine,vehicle engine,12,?,2015; 2016,New,OM-924 (218hp) diesel engine for 12 Aravis armoured personnel carriers from France,0.03,0.36,0.36
Greece,Germany,2022,,40,,Marder-1A3,infantry fighting vehicle,40,?,2022; 2023,Second hand,Second-hand; Marder-1A3 version; aid in return for Greece delivering BMP-1 infantry fighting vehicles as aid to Ukraine after 2022 Russian invasion of Ukraine,0.68,27.2,27.2
Greece,Germany,2020,,44,,DM2A4 Seehecht,anti-ship/anti-submarine torpedo,11,?,2024,New,EUR110 m deal; Seahake Mod-4ER version; for Type-214 submarines,1.8,79.2,19.8
Greece,Germany,2002,,1,,Type-214,submarine,1,,2016,New,Greek designation Katsonis; produced under licence in Greece; delivery delayed several years after disagreement between Greece and producer,275,275,275
