Rockstone Technologies Ltd,11,100,0,0,
Armed Forces Covenant Fund Trustee Ltd,11,0,0,100,[note 13]
Rheinmetall Electronics UK Ltd,11,93,4,3,[note 17]
HII Unmanned Systems Inc,11,0,100,0,
Right Management Ltd,11,90,0,10,
Critical Maritime Systems & Support Ltd,11,93,7,0,
Royal Air Force Museum,11,0,0,100,[note 13]
Alert Communications Ltd,11,100,0,0,
Surrey Satellite Technology Ltd,10,38,59,3,[note 17]
Cognizant Worldwide Ltd,10,14,86,0,
Teachers Pensions,10,0,0,100,[note 13]
Ramboll UK Ltd,10,60,27,13,[note 17]
Companhia Brasileira de Cartuchos,10,100,0,0,
3DOT Solutions Ltd,10,100,0,0,
Hansa-Express Logistics GMBH,10,0,0,100,
Kongsberg Norcontrol Ltd,10,0,100,0,
Radiocoms Systems Ltd,10,57,42,0,[note 17] [note 18]
Montvieux Ltd,10,39,60,2,[note 17]
IrvinGQ Ltd,10,56,44,0,
Travelodge Hotels Ltd,10,0,0,100,[note 19]
Newton Europe Ltd,10,99,1,0,
Accenture (UK) Ltd,10,83,17,0,
Event Horizon Pyrotechnics Ltd,10,1,81,18,[note 17]
Praetorian Connections Ltd,10,0,100,0,
E.P. Barrus Ltd,10,0,100,0,
UK Research & Innovation,10,0,0,100,[note 13]
MACS EU Ltd,10,100,0,0,
Banner Group Ltd,9,81,2,17,[note 17] [note 18] [note 19]
Sterling Computers Corporation (UK) Ltd,9,0,100,0,
Survitec Group Ltd,9,4,96,0,
Scott Aerospace Ltd,9,99,1,0,
The Gurkha Welfare Trust,9,0,0,100,
Your NRG Ltd,9,100,0,0,
BlackTree Technologies Ltd,9,76,23,0,[note 17]
A400M Training Services Ltd,9,0,100,0,
Government of Sweden,9,0,0,100,[note 15]
Innovation and Insight FZE,9,42,52,5,
easyJet,9,0,0,100,[note 19]
Restore PLC,9,98,0,2,[note 17]
BOC Ltd,9,0,0,100,[note 17]
WSP UK Ltd,9,92,8,0,
Corporate Document Services Ltd,9,100,0,0,
University of Cambridge,8,48,44,8,[note 17]
MSI-Defence Systems Ltd,8,0,100,0,
Apache IX Ltd,8,98,2,0,
PW Defence Ltd,8,44,56,0,
Keoghs LLP,8,100,0,0,
HM Treasury,8,0,0,100,[note 13] [note 17]
French Government,8,0,0,100,[note 15]
King's College London,8,89,0,11,[note 17]
BBC Studios Productions Ltd,8,0,100,0,
Faculty Science Ltd,8,0,82,18,[note 17]
Reed In Partnership Ltd,8,95,0,5,
Solent Gateway Ltd,8,100,0,0,
Research Innovations Incorporated,8,0,100,0,
Austin Hayes Ltd,8,100,0,0,
Tricomm Housing Ltd,8,100,0,0,
Everett Aviation Charter Ltd,8,100,0,0,
Airwave Solutions Ltd,8,100,0,0,
Overseas Supply Services Ltd,8,100,0,0,
Marine Specialised Technology Ltd,8,100,0,0,
Parico Ltd,8,53,47,0,
Ultra PMES Ltd,8,0,100,0,
Insight Direct (UK) Ltd,8,35,3,62,[note 17] [note 18]
Xerox (UK) Ltd,8,100,0,0,
Hamilton Sundstrand Corporation,8,0,100,0,
Virgin Atlantic Airways Ltd,8,0,0,100,[note 19]
Portsmouth City Council,8,0,0,100,[note 18]
Urenco Nuclear Stewardship Ltd,8,0,100,0,
Kuehne + Nagel Ltd,7,100,0,0,[note 16]
Perfect Circle JV Ltd,7,13,6,82,[note 17]
Fasttrax Ltd,7,100,0,0,
TPG Services Ltd,7,94,0,6,[note 17]
Burges Salmon LLP,7,23,61,17,[note 18]
University Hospital Birmingham NHS Foundation Trust,7,75,25,0,
Kainos Software Ltd,7,97,0,3,[note 17]
Beechwood Equipment Ltd,7,13,87,0,
Experis Ltd,7,0,0,100,[note 18]
Mace Consult Ltd,7,98,2,0,
Methods Business and Digital Technology Ltd,7,100,0,0,[note 18]
The Army Cadet Force Association,7,0,0,100,
VolkerStevin Ltd,7,100,0,0,
Nuvia Structure,7,0,100,0,
CDS Support Ltd,7,14,85,1,
QinetiQ Target Services Ltd,7,100,0,0,
Inzpire Ltd,7,89,11,0,
West Berkshire Council,7,0,0,100,
W Autonomous Systems Ltd,7,0,100,0,
South Gloucestershire Council,7,0,0,100,
Ravenswood Solutions Inc.,7,100,0,0,
National Army Museum,7,0,0,100,[note 13]
SRC UK Ltd,7,14,86,0,
National Hydrographic Office Sri Lanka,7,0,0,100,[note 15] [note 18]
Garrison Technology Ltd,7,1,99,0,
Brigantes Consulting Ltd,7,0,97,2,[note 17]
BAE Systems (Defence Systems) Ltd,7,100,0,0,
PMB Defence Engineering Pty Ltd,7,0,100,0,
Cyber1st Ltd,7,0,99,1,[note 17]
C3IA Solutions Ltd,6,100,0,0,
