Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
Philippines,United Kingdom,2020,?,50,?,Paveway,guided bomb,50,?,2020,New,GBU-49 Paveway-4 version,0.02,1,1;;;;;;;;;
Philippines,United Kingdom,2018,?,50,?,Paveway,guided bomb,50,?,2019,New,GBU-49 Paveway-4 version,0.02,1,1;;;;;;;;;
Philippines,United Kingdom,2016,,2,,AW-159 Wildcat,anti-submarine helicopter,2,,2019,New,PHP5.4 b ($101 m) deal,14,28,28;;;;;;;;;
Poland,United Kingdom,2019,,4,,AW101-111,anti-submarine helicopter,4,,2023;2024,New,PLN1.7 b ($415-450 m deal ($104 m offsets),15.75,63,63;;;;;;;;
Poland,United Kingdom,2022,?,750,?,CAMM,SAM,100,?,2022;2023,New,For mala NAREW and Pilica+ air defence systems;delivery planned 2022-2029,0.35,262.5,35;;;;;;;
Qatar,United Kingdom,2018,,9,,Hawk-100,trainer/combat aircraft,9,,2021;2022,New,Hawk Mk-167 version,10,90,90;;;;;;;;
Qatar,United Kingdom,2015,,160,?,Meteor,long-range air-to-air missile,160,?,2019;2020,New,For Rafale combat aircraft from France,0.8,128,128;;;;;;;;
Qatar,United Kingdom,2017,,24,,Typhoon Block-20,FGA aircraft,22,?,2022;2023;2024,New,Incl 4 Typhoon-T trainer/combat version,57.5,1380,1265;;;;;;;
Qatar,United Kingdom,2017,,300,?,Paveway,guided bomb,300,?,2022;2023;2024,New,Paveway-4 version;for Typhoon combat aircraft,0.02,6,6;;;;;;
Qatar,United Kingdom,2019,,200,?,ASRAAM,long-range air-to-air missile,150,?,2022;2023;2024,New,ASRAAM Block-6 version;for Typhoon combat aircraft,0.18,36,27;;;;;;
Qatar,United Kingdom,2017,,7,?,EJ-200,turbofan,2,?,2023;2024,New,Spares for Typhoon combat aircraft,2.5,17.5,5;;;;;;;;
Romania,United Kingdom,2023,,2,,Sandown,minehunter,1,,2023,Second hand,Second-hand,18,36,18;;;;;;;;;
Saudi Arabia,United Kingdom,2015,?,1000,?,Brimstone,air-to-surface missile,1000,?,2016;2017;2018;2019,New,For Tornado combat aircraft,0.15,150,150;;;;;;
Saudi Arabia,United Kingdom,2015,,22,,Hawk-100,trainer/combat aircraft,22,?,2019;2020;2021;2022,New,Hawk-165 (Hawk AJT) version;assembled in Saudi Arabia,10,220,220;;;;;
Saudi Arabia,United Kingdom,2012,,22,,Hawk-100,trainer/combat aircraft,22,,2016;2017,New,Part of GBP1.6 b deal;Hawk-165 (Hawk AJT) version,10,220,220;;;;;;;
Saudi Arabia,United Kingdom,2007,,48,,Typhoon Block-8,FGA aircraft,14,?,2014;2015,New,Part of GBP4.4 b deal (part of up to GBP20 b 'Project Salam');Typhoon Block-8BC;Block-8C;Block-9C;Block-10C;Block-11C and Block-15C (Typhoon Tranche-2) versions,55,2640,770;;;
Saudi Arabia,United Kingdom,2009,,3,,air refuel system,air refuel system,3,,2014;2015,New,For 3 A-330 MRTT tanker/transport aircraft from France,10,30,30;;;;;;;;
Saudi Arabia,United Kingdom,2013,,100,?,Storm Shadow/SCALP-EG,air-to-surface missile,100,?,2016;2017,New,For Tornado and/or Typhoon combat aircraft,0.64,64,64;;;;;;;;
